作者姓名,书名,类型,链接

Sheldon Axler,线性代数应该这样学,学习
http://101.42.251.172/cms/main/cmsDetail?pptUrl=13


刘慈欣,三体,科幻
http://101.42.251.172/cms/main/cmsDetail?pptUrl=14


陈磊,半小时漫画宋词,生活
http://101.42.251.172/cms/main/cmsDetail?pptUrl=15


周伟洲,十六国史新编,学习
http://101.42.251.172/cms/main/cmsDetail?pptUrl=16


Letme,从Letme到严君泽,游戏
http://101.42.251.172/cms/main/cmsDetail?pptUrl=17


宗承灏,中国历史中的生存游戏与权力博弈,历史
http://101.42.251.172/cms/main/cmsDetail?pptUrl=18

